test_id,test_name,provider,model,effort,pass,duration_ms,input_tokens,output_tokens
set-alarm-5pm,Set an alarm for 5:00 PM,codex-gpt-5.4,gpt-5.4,low,false,603784,0,0
uninstall-app,Uninstall the Firefox Focus app,codex-gpt-5.4,gpt-5.4,low,true,123938,487012,3099
get-verification-code,Get verification code from text message,codex-gpt-5.4,gpt-5.4,low,true,151139,474435,2801
airplane-mode-on,Turn on airplane mode,claude-claude-opus-4-6,claude-opus-4-6,low,true,77763,75758,2657
airplane-mode-off,Turn off airplane mode,claude-claude-opus-4-6,claude-opus-4-6,low,true,102282,133338,3694
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-opus-4-6,claude-opus-4-6,low,true,344473,833553,12501
uninstall-app,Uninstall the Firefox Focus app,claude-claude-opus-4-6,claude-opus-4-6,low,false,609132,3021152,4849
get-verification-code,Get verification code from text message,claude-claude-opus-4-6,claude-opus-4-6,low,true,163807,263731,5979
airplane-mode-on,Turn on airplane mode,claude-claude-opus-4-6,claude-opus-4-6,low,true,88906,101121,3363
airplane-mode-off,Turn off airplane mode,claude-claude-opus-4-6,claude-opus-4-6,low,true,88082,118479,3417
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-opus-4-6,claude-opus-4-6,low,true,193669,322293,7149
uninstall-app,Uninstall the Firefox Focus app,claude-claude-opus-4-6,claude-opus-4-6,low,true,510285,1596902,17613
get-verification-code,Get verification code from text message,claude-claude-opus-4-6,claude-opus-4-6,low,true,62826,60308,2370
airplane-mode-on,Turn on airplane mode,codex-gpt-5.4,gpt-5.4,low,true,54356,186908,1340
airplane-mode-off,Turn off airplane mode,codex-gpt-5.4,gpt-5.4,low,false,216024,937120,5941
set-alarm-5pm,Set an alarm for 5:00 PM,codex-gpt-5.4,gpt-5.4,low,true,274947,849382,6486
uninstall-app,Uninstall the Firefox Focus app,codex-gpt-5.4,gpt-5.4,low,false,609038,0,0
airplane-mode-off,Turn off airplane mode,gemini-gemini-2.5-flash,gemini-2.5-flash,,false,49044,91105,485
set-alarm-5pm,Set an alarm for 5:00 PM,gemini-gemini-2.5-flash,gemini-2.5-flash,,false,302213,837885,6583
uninstall-app,Uninstall the Firefox Focus app,gemini-gemini-2.5-flash,gemini-2.5-flash,,false,1545042,0,0
airplane-mode-on,Turn on airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,405365,1280807,19078
airplane-mode-off,Turn off airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,192539,329820,9083
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,510796,1400492,18908
uninstall-app,Uninstall the Firefox Focus app,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,458454,1288107,19956
get-verification-code,Get verification code from text message,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,78409,124000,3933
airplane-mode-on,Turn on airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,false,604313,3345349,4279
airplane-mode-off,Turn off airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,432585,1095041,17362
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,453402,1219564,18558
uninstall-app,Uninstall the Firefox Focus app,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,331697,760221,13884
airplane-mode-on,Turn on airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,430875,564459,14282
airplane-mode-off,Turn off airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,false,142114,186738,6391
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,312337,844666,15415
uninstall-app,Uninstall the Firefox Focus app,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,402406,1481568,19704
airplane-mode-on,Turn on airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,118101,154843,6683
airplane-mode-off,Turn off airplane mode,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,446272,1472105,22644
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,404559,1093049,18989
uninstall-app,Uninstall the Firefox Focus app,claude-claude-sonnet-4-6,claude-sonnet-4-6,low,true,491399,2161469,25138
airplane-mode-on,Turn on airplane mode,claude-claude-opus-4-5,claude-opus-4-5,low,false,604663,4341324,472
airplane-mode-off,Turn off airplane mode,claude-claude-opus-4-5,claude-opus-4-5,low,true,196784,372979,9345
set-alarm-5pm,Set an alarm for 5:00 PM,claude-claude-opus-4-5,claude-opus-4-5,low,true,360853,1149426,18529
uninstall-app,Uninstall the Firefox Focus app,claude-claude-opus-4-5,claude-opus-4-5,low,false,607112,6639639,571
